time,riedon.riedon_current_mA,bms.pack_voltage_V
2025-11-22 13:41:46.499,72.484,134.0127
2025-11-22 13:41:46.999,72.484,134.0118
2025-11-22 13:41:47.500,72.484,134.0106
2025-11-22 13:41:47.999,72.484,134.0093
2025-11-22 13:41:48.498,72.484,134.0089
2025-11-22 13:41:49.002,72.484,134.0084
2025-11-22 13:41:49.499,72.484,134.0052
2025-11-22 13:41:49.999,72.484,134.0042
2025-11-22 13:41:50.502,72.484,134.004
2025-11-22 13:41:50.999,72.484,134.0025
2025-11-22 13:41:51.498,72.484,134.0023
2025-11-22 13:41:52.003,72.484,134.0005
2025-11-22 13:41:52.499,72.484,133.9999
2025-11-22 13:41:52.999,72.484,133.9977
2025-11-22 13:41:53.501,72.484,133.997
2025-11-22 13:41:53.998,72.484,133.9959
2025-11-22 13:41:54.499,72.484,133.9948
2025-11-22 13:41:55.002,72.484,133.9936
2025-11-22 13:41:55.499,72.484,133.9927
2025-11-22 13:41:55.999,72.484,133.9923
2025-11-22 13:41:56.502,72.484,133.9911
2025-11-22 13:41:56.999,72.484,133.9906
2025-11-22 13:41:57.499,72.484,133.9887
2025-11-22 13:41:58.002,72.484,133.9881
2025-11-22 13:41:58.498,72.484,133.9859
2025-11-22 13:41:58.999,72.484,133.9856
2025-11-22 13:41:59.501,72.484,133.9832
2025-11-22 13:41:59.999,72.484,133.9827
2025-11-22 13:42:00.499,72.484,133.9832
2025-11-22 13:42:01.002,72.484,133.9814
2025-11-22 13:42:01.498,72.484,133.9796
2025-11-22 13:42:01.999,72.484,133.9794
2025-11-22 13:42:02.502,72.484,133.9776
2025-11-22 13:42:02.999,72.484,133.9763
2025-11-22 13:42:03.499,72.484,133.9755
2025-11-22 13:42:04.002,72.484,133.974
2025-11-22 13:42:04.499,72.484,133.9724
2025-11-22 13:42:04.999,72.484,133.9712
2025-11-22 13:42:05.502,72.484,133.9709
2025-11-22 13:42:05.999,72.484,133.97
2025-11-22 13:42:06.498,72.484,133.9686
2025-11-22 13:42:07.002,72.484,133.9677
2025-11-22 13:42:07.499,72.484,133.9667
2025-11-22 13:42:07.999,72.484,133.9645
2025-11-22 13:42:08.502,72.484,133.9647
2025-11-22 13:42:08.998,72.484,133.9629
2025-11-22 13:42:09.499,72.484,133.9614
2025-11-22 13:42:10.002,72.484,133.9613
2025-11-22 13:42:10.499,72.484,133.9593
2025-11-22 13:42:10.499,72.484,133.9593
2025-11-22 13:42:10.999,72.484,133.9593
2025-11-22 13:42:11.502,72.484,133.9574
2025-11-22 13:42:11.999,72.484,133.956
2025-11-22 13:42:12.499,72.484,133.9549
2025-11-22 13:42:13.002,72.484,133.9548
2025-11-22 13:42:13.498,72.484,133.9525
2025-11-22 13:42:13.998,72.484,133.9524
2025-11-22 13:42:14.502,72.484,133.9508
2025-11-22 13:42:14.999,72.484,133.9488
2025-11-22 13:42:15.498,72.484,133.9493
2025-11-22 13:42:16.002,72.484,133.9479
2025-11-22 13:42:16.499,72.484,133.9462
2025-11-22 13:42:16.999,72.484,133.9469
2025-11-22 13:42:17.503,72.484,133.9445
2025-11-22 13:42:17.998,72.484,133.9429
2025-11-22 13:42:18.498,72.484,133.9419
2025-11-22 13:42:19.000,72.484,133.9404
2025-11-22 13:42:19.498,72.484,133.9398
2025-11-22 13:42:19.998,72.484,133.9375
2025-11-22 13:42:20.500,72.484,133.9396
2025-11-22 13:42:20.999,72.484,133.9361
2025-11-22 13:42:21.498,72.484,133.9357
2025-11-22 13:42:22.001,72.484,133.9341
2025-11-22 13:42:22.498,72.484,133.9326
2025-11-22 13:42:22.998,72.484,133.9311
2025-11-22 13:42:23.500,72.484,133.9309
2025-11-22 13:42:23.999,72.484,133.9298
2025-11-22 13:42:24.498,72.484,133.9281
2025-11-22 13:42:25.000,72.484,133.9285
2025-11-22 13:42:25.500,72.484,133.9272
2025-11-22 13:42:25.999,72.484,133.9255
2025-11-22 13:42:26.498,72.484,133.9251
2025-11-22 13:42:27.000,72.484,133.9248
2025-11-22 13:42:27.498,72.484,133.9219
2025-11-22 13:42:27.998,72.484,133.9203
2025-11-22 13:42:28.501,72.484,133.9199
2025-11-22 13:42:28.998,72.484,133.9194
2025-11-22 13:42:29.500,72.484,133.9176
2025-11-22 13:42:30.002,72.484,133.9169
2025-11-22 13:42:30.499,72.484,133.9148
2025-11-22 13:42:31.002,72.484,133.9146
2025-11-22 13:42:31.499,72.484,133.9127
2025-11-22 13:42:31.999,72.484,133.9125
2025-11-22 13:42:32.502,72.484,133.9105
2025-11-22 13:42:32.999,72.484,133.9094
2025-11-22 13:42:33.499,72.484,133.9088
2025-11-22 13:42:33.998,72.484,133.9065
2025-11-22 13:42:34.498,72.484,133.9072
2025-11-22 13:42:34.999,72.484,133.9045
2025-11-22 13:42:35.500,72.484,133.9035
2025-11-22 13:42:35.999,72.484,133.9037
2025-11-22 13:42:36.501,72.484,133.9029
2025-11-22 13:42:37.000,72.484,133.9004
2025-11-22 13:42:37.499,72.484,133.9002
2025-11-22 13:42:38.001,72.484,133.8994
2025-11-22 13:42:38.498,72.484,133.8984
2025-11-22 13:42:38.999,72.484,133.8976
2025-11-22 13:42:39.499,72.484,133.8944
2025-11-22 13:42:40.000,72.484,133.8947
2025-11-22 13:42:40.500,72.484,133.8925
2025-11-22 13:42:40.999,72.484,133.8919
2025-11-22 13:42:41.498,72.484,133.8912
2025-11-22 13:42:41.998,72.484,133.891
2025-11-22 13:42:42.499,72.484,133.888
2025-11-22 13:42:43.000,72.484,133.8873
2025-11-22 13:42:43.499,72.484,133.8873
2025-11-22 13:42:44.002,72.484,133.8847
2025-11-22 13:42:44.500,72.484,133.8848
2025-11-22 13:42:44.999,72.484,133.883
2025-11-22 13:42:45.498,72.484,133.8815
2025-11-22 13:42:46.000,72.484,133.8802
2025-11-22 13:42:46.499,72.484,133.8793
